c17b666f-cadb-459c-8ca7-ec1f2593d301,2024-06-02,raul,id8,50000.0
22c7ed72-1387-4bd3-9565-c59e3f1408d5,2024-06-02,90000.0,raul,id5
c8790b27-766d-4ad6-a64e-89887c58614e,2024-08-02,30000.0,raul,id9
0d12c617-191a-4af4-82e5-bdd2c0b4ef30,2024-10-02,1000000.0,raul,id69
613cc150-f4ba-4392-8c35-24a036b5456a,2024-10-02,20000.0,raul,id3
fca5c1e7-bf0d-4c0d-9089-5d4f2b2f29d9,2024-06-15,35000.0,raul,id10
8e7c8db8-4b1b-4a2d-8e73-8f4dbcb1d823,2024-06-15,45000.0,raul,id11
3b05cbb9-d8b0-4b9b-8c1c-8f2dcb9c4b77,2024-07-01,50000.0,pepe,id12
d7a0e4d8-c4e2-4e0d-9e2f-1f4db9c1f2b1,2024-07-01,55000.0,pepe,id13
cb0e5a9e-f8e5-4f9b-8c2c-0f3dcb8b2a92,2024-08-10,30000.0,raul,id14
b3f1e8b1-7b4f-4a9b-8f1c-8c3dc1b9e8c5,2024-08-10,32000.0,raul,id15
e1a7e4d8-d2e2-4f0d-9d2f-1f3db1c1f3a7,2024-09-05,40000.0,pepe,id16
6d9b7a1d-5c4f-4b8b-8e1c-8e4db2c8f2c9,2024-09-05,35000.0,pepe,id17
ca8e5b9e-f9e5-4d8b-8d2c-0f4dcb7a2c92,2024-10-20,30000.0,raul,id18
b4f1c8b1-7a4f-4e9b-8f0c-8d3dc2c9e8b6,2024-10-20,37000.0,raul,id19
d8b5c4a1-f7d2-4e0d-9c2f-1e4dc1c1d8b9,2024-11-10,38000.0,pepe,id20
7d9a8b1d-5c3f-4d8b-8c1c-8f3db1b9f3b7,2024-11-10,35000.0,pepe,id21
ca1e5b9e-f6e5-4f8b-8d2c-0f3dcb9a2b92,2024-12-25,32000.0,raul,id22
b5f1c8b1-7d4f-4a9b-8f0c-8c3dc2b9e8a5,2024-12-25,45000.0,raul,id23
e2a7e4d8-d4e2-4f0d-9d2f-1f4db1c1f4b8,2024-12-31,50000.0,pepe,id24
6d8b7a1d-5d4f-4b8b-8e1c-8e4db1c8f3c8,2024-12-31,35000.0,pepe,id25
430500dc-54e5-454c-a506-f48cdca1fb61,2024-06-02,50000.0,raul,id30
49431846-cbbc-40d9-927f-fb4b5170ba69,2024-06-02,80000.0,raul,id29
15a0d824-6857-47e5-82f1-7faa3f74b7dd,2024-06-02,200000.0,raul,id28
ef893f6e-d4e7-42d7-a926-86869c961968,2024-06-02,300000.0,raul,id27
641183a2-ac45-4193-ac81-d7140547ab49,2024-06-02,500000.0,raul,id25
ebac66c6-b4ef-470b-abe5-78748a4fe00a,2024-06-02,40000.0,fernando,id26
2679fa50-44f5-48a9-ab28-d6c34a992369,2024-06-02,7000.0,fernando,id80
